,id,grammar_point,furigana,meaning,jlpt_level,page
193,115,続ける,つづける,continue to; keen on,N4,258
194,116,って,,named; called Noun って,N4,261
195,117,うけみけい,,passive form; passive voice Ru-verb る -> られる,N4,263
196,118,は〜が は,,[A] but [B]; however; comparison Noun-1 + は 〜が Noun-2 + は…,N4,266
197,119,やすい,,easy to; likely to; prone to; have a tendency Verb ます (stem form) やすい,N4,268
198,120,やっと,,at last; finally; barely; narrowly Used as an adverb in a sentence.,N4,270
199,121,より,,than; rather than; more than [A]より[B],N4,272
200,122,予定だ,よていだ,"plan to, intend to Verb (dictionary form)",N4,275
201,123,ようだ,,appears; seems; looks as if Verb (casual),N4,277
202,124,ように ような,,like; as; similar to Verb (casual),N4,279
203,125,ようになる,,to reach the point that; to come to be that; to Verb (dictionary form),N4,281
204,126,ようにする,,to try to; to make sure that,N4,283
205,127,ようと思う,ようとおもう,thinking of doing; planning to,N4,285
206,128,ぜひ,,by all means; certainly; definitely Can be used either in beginning or mid-,N4,288
207,129,全然〜ない,ぜんぜん〜ない,(not) at all,N4,290
208,130,づらい,,difficult to do Verb ます (stem form) づらい,N4,292
209,1,上げる,あげる,to finish doing~,N3,10
210,2,あまり,,so much… that Verb (dictionary form),N3,12
211,3,あまりにも,,too much; so much… that; excessively~ Verb,N3,14
212,4,合う,あう,do something together,N3,16
213,5,ばいい,,"should, can, it’d be good if Verb (ば conditional form) いい",N3,18
214,6,ばよかった,,should have; would have been better if~ Verb (ば conditional form) よかった（のに）,N3,20
215,7,ば〜ほど,,the more… the more Verb,N3,22
216,8,ば〜のに,,would have; should have; if only~ Verb (conditional form),N3,24
217,9,ばかりで,,only; just (negative description) Verb (casual),N3,26
218,10,ばかりでなく,,not only.. but also; as well as~ Verb (casual),N3,28
219,11,べきだ,,should do~; must do~ Verb (standard form),N3,30
220,12,べきではない,,should not do~; must not do~ Verb (standard form),N3,32
221,13,別に〜ない,べつに〜ない,"not really, not particularly Verb (ない form)",N3,34
222,14,ぶりに,,for the first time in (period of time),N3,36
223,15,中,ちゅう,currently; during; at some point;,N3,38
224,16,だけ,,as much as~ Verb (dictionary form),N3,40
225,17,だけでなく,,not only… but also Verb (dictionary form),N3,42
226,18,だけど,,however; but Clause-1 だけど clause-2,N3,44
227,19,だらけ,,full of; covered with; a lot of (something Noun だらけ,N3,46
228,20,どんなに〜ても,,no matter how (much) Verb (ても form),N3,48
229,21,どうしても,,no matter what; at any cost; after all どうしても phrase,N3,50
230,22,ふりをする,,to pretend; to act as if~ Verb (casual),N3,52
231,23,ふと,,suddenly; accidentally; unexpectedly; ふと action,N3,54
232,24,がち,,tend to; tendency to; frequently; often; to do Noun,N3,56
